,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2072,Pescara,Catania,2,1,H,1,1,D,11,19,3,4,13,18,5,7,1,2,0,0
2073,Atalanta,Udinese,1,1,D,1,1,D,13,7,5,3,16,15,4,2,2,4,0,0
2074,Bologna,Parma,1,2,A,0,0,D,12,16,4,8,10,25,7,3,2,4,0,0
2075,Inter,Genoa,1,1,D,0,0,D,15,8,4,2,11,19,7,2,2,2,0,0
2076,Palermo,Fiorentina,0,3,A,0,0,D,7,18,1,10,14,15,2,10,3,4,0,0
2077,Roma,Milan,4,2,H,3,0,H,13,20,7,10,15,19,4,8,2,3,1,0
2078,Sampdoria,Lazio,0,1,A,0,1,A,11,9,2,1,12,22,7,3,2,3,0,0
2079,Siena,Napoli,0,2,A,0,0,D,2,11,0,5,12,14,2,7,1,0,1,0
2080,Torino,Chievo,2,0,H,2,0,H,8,4,2,1,11,11,2,3,4,2,0,0
2081,Catania,Torino,0,0,D,0,0,D,13,11,6,2,15,25,5,4,2,5,1,0
2082,Lazio,Cagliari,2,1,H,0,0,D,19,10,8,4,14,17,7,1,1,2,0,2
2083,Chievo,Atalanta,1,0,H,1,0,H,9,10,2,3,19,14,4,7,1,3,0,0
2084,Fiorentina,Pescara,0,2,A,0,0,D,29,6,15,3,14,23,9,2,1,5,0,0
2085,Genoa,Bologna,2,0,H,0,0,D,10,11,4,2,16,12,1,3,3,5,0,1
2086,Juventus,Sampdoria,1,2,A,1,0,H,18,10,7,4,16,12,14,3,4,4,0,1
2087,Milan,Siena,2,1,H,0,0,D,11,4,3,3,14,22,5,3,2,5,0,0
2088,Napoli,Roma,4,1,H,1,0,H,8,25,6,8,17,14,7,10,3,1,0,1
2089,Parma,Palermo,2,1,H,0,0,D,10,17,4,6,18,10,4,9,4,4,0,0
2090,Udinese,Inter,3,0,H,0,0,D,14,13,5,4,15,11,4,9,3,2,0,1
2091,Bologna,Chievo,4,0,H,2,0,H,10,11,5,2,18,19,4,5,2,5,0,0
