,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1,Juventus,Livorno,5,1,H,1,0,H,21,10,9,3,24,13,5,5,3,3,0,0
2,Lazio,Torino,2,2,D,0,1,A,20,14,11,3,10,17,9,7,1,1,0,1
3,Fiorentina,Empoli,3,1,H,0,0,D,13,11,7,4,18,17,5,4,0,1,0,0
4,Genoa,Milan,0,3,A,0,3,A,17,12,4,5,20,12,7,3,1,2,0,0
5,Inter,Udinese,1,1,D,1,0,H,10,20,3,3,11,17,6,6,2,2,1,0
6,Napoli,Cagliari,0,2,A,0,0,D,14,13,5,5,23,15,2,3,2,2,0,0
7,Palermo,Roma,0,2,A,0,2,A,14,26,4,11,11,14,8,5,3,1,0,0
8,Parma,Catania,2,2,D,2,2,D,22,7,8,3,24,21,5,3,2,3,0,0
9,Reggina,Atalanta,1,1,D,0,0,D,16,8,4,2,22,19,3,3,3,7,0,0
10,Siena,Sampdoria,1,2,A,0,1,A,11,15,5,5,13,19,4,3,0,3,0,0
11,Empoli,Inter,0,2,A,0,1,A,10,14,2,7,19,16,4,5,2,1,0,0
12,Atalanta,Parma,2,0,H,1,0,H,10,18,5,2,18,23,3,2,3,4,0,0
13,Cagliari,Juventus,2,3,A,0,0,D,18,10,6,4,21,21,9,2,1,3,1,1
14,Catania,Genoa,0,0,D,0,0,D,9,7,1,1,15,25,6,5,2,4,0,0
15,Livorno,Palermo,2,4,A,0,4,A,16,14,4,8,26,20,4,6,2,4,0,0
16,Roma,Siena,3,0,H,1,0,H,22,18,9,3,17,11,6,6,0,2,0,0
17,Sampdoria,Lazio,0,0,D,0,0,D,11,16,3,3,26,23,4,6,0,4,1,0
18,Torino,Reggina,2,2,D,1,1,D,13,14,5,5,25,12,5,6,2,2,0,0
19,Udinese,Napoli,0,5,A,0,2,A,18,16,4,8,12,23,5,5,2,2,0,0
20,Milan,Fiorentina,1,1,D,1,0,H,18,16,5,4,27,24,7,4,1,4,0,0
21,Lazio,Empoli,0,0,D,0,0,D,11,6,5,1,17,22,4,5,1,1,0,0
22,Siena,Milan,1,1,D,1,0,H,11,18,5,8,17,13,6,9,3,1,1,0
23,Fiorentina,Atalanta,2,2,D,1,0,H,16,6,7,3,21,26,10,2,4,3,0,1
24,Genoa,Livorno,1,1,D,0,0,D,17,13,3,5,24,23,13,3,0,3,1,1
25,Inter,Catania,2,0,H,1,0,H,18,10,7,3,22,10,9,9,1,1,0,0
26,Juventus,Udinese,0,1,A,0,0,D,18,12,2,1,18,19,8,8,1,1,0,0
27,Napoli,Sampdoria,2,0,H,1,0,H,21,5,6,2,15,21,12,5,1,3,0,0
28,Palermo,Torino,1,1,D,1,0,H,7,18,3,4,22,18,6,10,2,2,0,0
29,Parma,Cagliari,1,1,D,0,1,A,11,6,4,1,23,27,4,5,2,2,0,0
30,Reggina,Roma,0,2,A,0,0,D,7,25,2,9,21,12,1,4,3,2,1,0
31,Milan,Parma,1,1,D,1,0,H,23,14,4,3,16,24,6,4,1,5,0,0
32,Udinese,Reggina,2,0,H,1,0,H,18,10,8,1,23,15,3,5,1,1,0,0
33,Atalanta,Lazio,2,1,H,1,0,H,10,16,4,5,24,17,3,7,5,2,0,0
34,Cagliari,Palermo,0,1,A,0,1,A,18,10,7,5,12,26,5,3,1,1,0,0
35,Catania,Fiorentina,0,1,A,0,1,A,12,12,5,4,19,29,5,4,4,2,1,0
36,Empoli,Napoli,0,0,D,0,0,D,12,8,5,3,23,16,2,2,4,2,0,0
37,Livorno,Inter,2,2,D,1,1,D,16,23,9,10,17,19,6,2,4,2,0,1
38,Roma,Juventus,2,2,D,2,1,H,23,10,9,3,20,22,6,4,2,3,0,0
39,Sampdoria,Genoa,0,0,D,0,0,D,14,5,0,0,28,33,5,5,4,2,0,0
40,Torino,Siena,1,1,D,1,0,H,14,12,3,5,20,19,3,2,3,2,0,1
41,Catania,Empoli,1,0,H,0,0,D,8,11,6,3,26,20,10,6,2,3,1,1
42,Fiorentina,Roma,2,2,D,1,2,A,23,15,5,9,23,21,10,4,2,2,1,0
43,Genoa,Udinese,3,2,H,1,0,H,12,12,6,5,12,20,5,4,3,5,1,0
44,Inter,Sampdoria,3,0,H,1,0,H,16,11,6,1,17,13,5,4,1,1,0,0
45,Juventus,Reggina,4,0,H,0,0,D,20,11,10,1,24,13,11,3,1,2,0,0
46,Lazio,Cagliari,3,1,H,0,0,D,18,9,8,2,20,13,8,4,2,3,0,0
47,Napoli,Livorno,1,0,H,0,0,D,24,8,9,1,19,13,12,2,2,1,0,0
48,Palermo,Milan,2,1,H,0,1,A,11,23,4,8,16,16,4,13,1,1,0,0
49,Parma,Torino,2,0,H,0,0,D,16,7,6,0,22,24,6,2,2,3,0,0
50,Siena,Atalanta,1,1,D,1,0,H,5,10,1,3,22,20,3,4,1,6,0,0
51,Livorno,Fiorentina,0,3,A,0,1,A,10,18,1,5,23,27,5,7,4,3,1,0
52,Roma,Inter,1,4,A,0,1,A,12,15,4,10,13,19,8,3,1,1,1,0
53,Cagliari,Siena,1,0,H,1,0,H,11,10,3,2,14,34,1,1,2,2,0,0
54,Empoli,Palermo,3,1,H,0,1,A,23,5,8,2,19,20,11,2,3,2,0,1
55,Milan,Catania,1,1,D,0,1,A,18,9,4,1,20,28,6,5,4,3,0,0
56,Napoli,Genoa,1,2,A,0,1,A,15,11,3,4,22,15,8,4,4,3,0,0
57,Reggina,Lazio,1,1,D,1,0,H,7,20,3,2,25,24,1,5,2,3,1,0
58,Sampdoria,Atalanta,3,0,H,1,0,H,5,15,3,5,24,22,3,6,2,3,0,0
59,Torino,Juventus,0,1,A,0,0,D,8,9,2,3,18,19,5,2,4,4,0,0
60,Udinese,Parma,2,1,H,0,0,D,14,7,6,2,24,25,2,4,3,2,0,0
61,Atalanta,Udinese,0,0,D,0,0,D,15,10,5,1,27,18,11,0,2,4,0,0
62,Inter,Napoli,2,1,H,2,0,H,14,10,4,4,15,20,3,2,3,4,0,0
63,Catania,Livorno,1,0,H,1,0,H,9,12,5,3,17,21,4,2,2,3,0,1
64,Fiorentina,Juventus,1,1,D,0,1,A,14,6,4,3,14,24,4,3,2,3,0,0
65,Genoa,Cagliari,2,0,H,0,0,D,28,12,10,2,23,14,8,2,3,3,0,0
66,Lazio,Milan,1,5,A,1,2,A,12,12,6,7,10,16,1,4,2,2,0,0
67,Palermo,Reggina,1,1,D,0,0,D,24,19,8,5,21,13,5,2,2,0,1,0
68,Parma,Roma,0,3,A,0,2,A,12,15,2,5,16,17,3,5,2,2,1,0
69,Siena,Empoli,3,0,H,0,0,D,21,8,10,1,16,27,4,1,0,1,0,1
70,Torino,Sampdoria,1,0,H,0,0,D,19,8,5,2,34,17,6,7,2,3,0,1
71,Reggina,Inter,0,1,A,0,1,A,13,11,4,5,23,16,4,1,2,3,0,0
72,Roma,Napoli,4,4,D,2,1,H,23,12,6,4,13,12,10,4,2,3,0,0
73,Atalanta,Torino,2,2,D,1,0,H,16,9,6,4,18,36,1,4,3,5,0,1
74,Cagliari,Catania,1,1,D,0,1,A,23,11,7,4,18,26,7,3,0,4,0,0
75,Fiorentina,Siena,3,0,H,2,0,H,16,9,4,5,18,21,5,5,0,3,0,0
76,Juventus,Genoa,1,0,H,1,0,H,12,9,5,2,23,22,3,7,5,4,1,0
77,Livorno,Lazio,0,1,A,0,1,A,5,19,1,6,22,16,3,10,3,2,0,1
78,Milan,Empoli,0,1,A,0,0,D,19,11,7,3,15,23,4,1,0,1,0,0
79,Sampdoria,Parma,3,0,H,1,0,H,16,15,8,4,22,25,4,4,3,3,0,0
80,Udinese,Palermo,1,1,D,0,1,A,17,6,5,3,21,18,12,7,1,1,0,0
81,Napoli,Juventus,3,1,H,0,0,D,10,15,6,4,16,17,5,4,1,3,0,0
82,Torino,Cagliari,2,0,H,0,0,D,9,17,4,3,28,17,3,10,1,1,0,0
83,Catania,Sampdoria,2,0,H,2,0,H,10,12,3,3,29,9,5,6,1,1,0,0
84,Empoli,Atalanta,0,1,A,0,0,D,5,13,3,3,28,21,7,3,2,2,0,0
85,Genoa,Fiorentina,0,0,D,0,0,D,11,11,4,2,18,27,8,1,3,5,0,0
86,Lazio,Udinese,0,1,A,0,0,D,14,20,5,8,15,20,4,10,2,2,0,0
87,Milan,Roma,0,1,A,0,0,D,13,22,1,8,17,16,6,13,4,4,1,0
88,Palermo,Inter,0,0,D,0,0,D,14,18,3,5,12,24,4,4,2,1,0,0
89,Parma,Livorno,3,2,H,1,1,D,19,8,8,4,22,24,4,6,3,5,0,1
90,Siena,Reggina,0,0,D,0,0,D,21,5,2,1,25,22,9,4,0,2,0,0
91,Atalanta,Cagliari,2,2,D,0,1,A,15,15,7,6,25,16,5,4,2,2,1,0
92,Fiorentina,Napoli,1,0,H,0,0,D,15,11,3,2,21,24,5,8,2,3,0,0
93,Inter,Genoa,4,1,H,1,0,H,19,14,10,6,15,16,11,4,1,2,0,0
94,Juventus,Empoli,3,0,H,0,0,D,14,9,7,2,12,18,3,5,0,2,0,0
95,Palermo,Parma,1,1,D,0,1,A,16,11,3,3,17,25,6,5,3,6,0,0
96,Reggina,Livorno,1,3,A,1,1,D,7,4,1,3,4,4,2,1,3,1,0,0
97,Roma,Lazio,3,2,H,2,1,H,18,18,9,6,17,19,7,7,4,2,0,0
98,Sampdoria,Milan,0,5,A,0,0,D,13,12,3,6,27,21,5,2,2,3,0,0
99,Siena,Catania,1,1,D,0,0,D,8,2,2,1,9,8,2,1,1,4,0,0
100,Udinese,Torino,2,1,H,1,0,H,18,11,6,4,13,21,9,2,1,1,1,1
101,Lazio,Fiorentina,0,1,A,0,1,A,10,7,1,2,21,29,7,2,1,3,1,0
102,Milan,Torino,0,0,D,0,0,D,24,13,6,2,12,23,8,3,0,4,0,0
103,Cagliari,Sampdoria,0,3,A,0,3,A,10,8,1,4,20,32,7,1,2,3,0,1
104,Catania,Atalanta,1,2,A,0,0,D,18,14,4,6,25,25,7,3,2,3,0,0
105,Empoli,Roma,2,2,D,0,2,A,22,18,8,7,14,24,7,8,3,4,0,0
106,Genoa,Palermo,3,3,D,0,1,A,31,7,12,4,28,26,12,2,4,3,0,0
107,Juventus,Inter,1,1,D,0,1,A,16,8,4,5,17,17,4,7,2,2,0,0
108,Livorno,Udinese,0,0,D,0,0,D,12,15,1,6,18,18,5,2,0,0,0,0
109,Napoli,Reggina,1,1,D,0,0,D,15,5,8,3,17,27,9,1,2,4,0,0
110,Parma,Siena,2,2,D,1,1,D,15,11,6,8,18,24,6,5,3,2,0,0
111,Palermo,Napoli,2,1,H,0,0,D,16,18,5,6,17,29,6,3,3,4,0,0
112,Sampdoria,Empoli,3,0,H,2,0,H,13,12,8,3,16,21,2,8,2,3,0,0
113,Fiorentina,Udinese,1,2,A,1,1,D,24,9,5,4,16,15,7,6,1,3,1,0
114,Parma,Juventus,2,2,D,1,0,H,13,11,4,1,18,19,4,0,1,2,0,0
115,Reggina,Genoa,2,0,H,1,0,H,13,19,4,2,16,25,3,4,3,3,0,0
116,Siena,Livorno,2,3,A,1,3,A,19,8,7,3,19,19,3,3,1,2,0,0
117,Torino,Catania,1,1,D,1,0,H,14,11,2,3,24,15,2,4,1,3,0,1
118,Genoa,Roma,0,1,A,0,0,D,14,18,2,4,28,16,4,11,5,1,0,0
119,Inter,Atalanta,2,1,H,2,1,H,9,14,3,4,15,14,7,2,1,2,0,1
120,Cagliari,Milan,1,2,A,1,0,H,12,17,7,6,14,19,7,6,3,3,0,0
121,Empoli,Torino,0,0,D,0,0,D,12,15,2,4,22,20,7,4,2,4,0,0
122,Juventus,Palermo,5,0,H,2,0,H,20,4,10,2,23,16,10,4,2,3,0,0
123,Lazio,Parma,1,0,H,0,0,D,24,13,9,1,21,23,6,5,3,2,0,0
124,Livorno,Sampdoria,3,1,H,2,0,H,22,15,9,3,15,16,8,9,2,3,0,0
125,Napoli,Catania,2,0,H,1,0,H,18,8,10,4,22,18,9,5,1,1,0,0
126,Reggina,Fiorentina,0,0,D,0,0,D,5,14,1,0,21,31,5,5,2,2,0,0
127,Udinese,Siena,2,0,H,1,0,H,16,12,7,2,18,17,4,7,2,2,1,0
128,Milan,Juventus,0,0,D,0,0,D,7,10,4,4,16,24,5,5,0,3,0,0
129,Sampdoria,Reggina,3,0,H,1,0,H,17,10,5,3,20,28,7,6,3,3,0,1
130,Atalanta,Napoli,5,1,H,3,0,H,16,8,8,2,19,11,7,6,2,2,0,0
131,Cagliari,Livorno,0,0,D,0,0,D,16,8,2,2,11,23,10,2,2,2,0,0
132,Catania,Palermo,3,1,H,2,0,H,20,16,10,5,20,20,10,3,4,3,0,1
133,Fiorentina,Inter,0,2,A,0,2,A,19,13,6,7,22,20,4,7,1,3,0,0
134,Parma,Empoli,1,0,H,1,0,H,11,11,7,1,19,21,4,8,3,3,0,0
135,Roma,Udinese,2,1,H,2,1,H,21,9,8,4,15,18,11,3,3,2,0,2
136,Siena,Lazio,1,1,D,1,1,D,9,17,5,2,17,24,4,8,2,2,0,0
137,Torino,Genoa,1,1,D,0,0,D,13,13,6,4,30,16,3,4,1,4,0,0
138,Inter,Lazio,3,0,H,2,0,H,14,13,6,4,14,15,10,4,1,3,0,0
139,Roma,Cagliari,2,0,H,2,0,H,12,18,3,3,16,7,3,7,1,2,0,0
140,Lazio,Catania,2,0,H,1,0,H,15,6,5,1,14,14,4,4,1,1,0,1
141,Palermo,Fiorentina,2,0,H,1,0,H,14,18,8,4,23,17,7,7,4,3,0,0
142,Empoli,Cagliari,4,1,H,2,0,H,14,8,6,1,22,25,2,6,1,3,0,0
143,Genoa,Siena,1,3,A,0,3,A,18,13,4,7,16,23,14,4,1,2,0,0
144,Inter,Torino,4,0,H,1,0,H,8,10,6,3,20,19,6,4,1,3,0,0
145,Juventus,Atalanta,1,0,H,0,0,D,17,10,6,3,19,14,6,5,2,3,0,0
146,Livorno,Roma,1,1,D,1,1,D,16,20,9,6,7,13,6,5,2,1,0,0
147,Napoli,Parma,1,0,H,1,0,H,6,13,1,1,17,27,3,3,4,2,0,0
148,Udinese,Sampdoria,3,2,H,1,2,A,28,6,10,2,21,21,12,4,1,4,0,0
149,Catania,Udinese,2,0,H,1,0,H,13,12,4,2,20,19,3,10,2,3,0,0
150,Lazio,Juventus,2,3,A,1,1,D,14,10,9,3,11,22,8,2,2,1,0,0
151,Atalanta,Palermo,1,3,A,0,2,A,18,8,5,5,22,14,1,4,2,2,0,0
152,Cagliari,Inter,0,2,A,0,0,D,7,16,1,8,17,9,2,2,2,0,0,0
153,Empoli,Genoa,1,1,D,1,0,H,13,7,3,2,30,18,3,4,3,4,0,0
154,Parma,Reggina,3,0,H,1,0,H,26,15,9,2,21,14,9,6,1,3,0,0
155,Sampdoria,Fiorentina,2,2,D,1,1,D,10,9,7,3,21,27,6,1,1,2,0,0
156,Siena,Napoli,1,1,D,0,0,D,8,12,2,3,17,17,6,7,2,0,0,0
157,Torino,Roma,0,0,D,0,0,D,17,19,4,2,20,12,6,4,3,2,1,0
158,Genoa,Parma,1,0,H,1,0,H,14,10,5,1,24,23,3,7,4,4,0,0
159,Roma,Sampdoria,2,0,H,1,0,H,17,11,6,4,14,17,4,4,3,2,0,1
160,Fiorentina,Cagliari,5,1,H,3,1,H,16,12,7,3,17,16,4,2,1,1,0,0
161,Inter,Milan,2,1,H,1,1,D,14,13,3,3,25,20,3,8,4,3,0,0
162,Juventus,Siena,2,0,H,1,0,H,18,5,3,3,19,19,7,9,3,0,0,0
163,Livorno,Atalanta,1,1,D,1,1,D,6,18,2,6,16,27,4,5,3,2,0,0
164,Napoli,Torino,1,1,D,0,1,A,14,5,6,1,13,15,7,1,3,4,0,1
165,Palermo,Lazio,2,2,D,1,0,H,12,13,6,5,17,20,1,5,3,4,0,2
166,Reggina,Catania,3,1,H,1,0,H,13,12,6,3,20,25,3,0,2,5,0,1
167,Udinese,Empoli,2,2,D,1,0,H,19,10,7,4,18,14,6,4,2,1,0,1
168,Catania,Juventus,1,1,D,1,0,H,8,18,2,2,15,23,2,5,3,3,0,0
169,Empoli,Reggina,1,1,D,1,1,D,19,5,6,3,23,24,8,5,2,4,0,0
170,Atalanta,Roma,1,2,A,1,2,A,17,17,8,3,20,17,4,9,3,5,0,0
171,Cagliari,Udinese,0,1,A,0,1,A,15,18,6,6,14,23,10,6,3,1,1,1
172,Lazio,Genoa,1,2,A,1,0,H,13,12,6,5,20,18,11,6,2,1,0,0
173,Milan,Napoli,5,2,H,2,2,D,18,9,11,3,23,19,4,1,1,1,0,1
174,Parma,Fiorentina,1,2,A,0,1,A,18,18,3,6,10,20,7,6,0,0,0,0
175,Sampdoria,Palermo,3,0,H,2,0,H,15,12,6,2,14,19,8,5,0,4,0,0
176,Siena,Inter,2,3,A,1,2,A,17,13,4,6,17,11,2,5,1,2,0,0
177,Torino,Livorno,1,2,A,0,2,A,23,8,7,3,22,18,8,2,3,3,0,0
178,Fiorentina,Torino,2,1,H,1,0,H,15,7,7,2,20,35,5,1,1,2,0,0
179,Genoa,Atalanta,2,1,H,0,0,D,12,16,7,2,23,22,7,3,4,2,0,0
180,Inter,Parma,3,2,H,1,1,D,19,17,9,4,14,13,5,3,2,3,0,1
181,Juventus,Sampdoria,0,0,D,0,0,D,21,7,4,1,21,18,10,3,2,3,0,0
182,Livorno,Empoli,1,0,H,0,0,D,8,18,3,6,20,22,2,5,2,2,0,0
183,Napoli,Lazio,2,2,D,1,2,A,23,11,13,3,26,18,10,1,2,5,1,1
184,Palermo,Siena,2,3,A,1,2,A,24,9,4,4,34,38,13,5,2,3,0,0
185,Reggina,Cagliari,2,0,H,0,0,D,7,12,3,1,21,25,5,5,2,2,0,0
186,Roma,Catania,2,0,H,1,0,H,22,15,10,3,19,19,5,6,3,4,0,0
187,Udinese,Milan,0,1,A,0,0,D,17,14,4,5,15,14,5,4,1,2,0,0
188,Atalanta,Milan,2,1,H,1,1,D,15,12,4,4,14,19,0,8,2,3,0,0
189,Roma,Palermo,1,0,H,0,0,D,23,9,2,0,21,13,7,4,1,1,0,1
190,Sampdoria,Siena,1,0,H,1,0,H,12,13,2,4,18,34,3,6,1,3,0,0
191,Atalanta,Reggina,2,2,D,1,0,H,26,8,4,5,20,22,5,5,4,4,0,0
192,Cagliari,Napoli,2,1,H,0,0,D,22,12,9,4,14,15,8,3,4,2,0,0
193,Catania,Parma,0,0,D,0,0,D,8,9,4,2,26,32,4,0,4,4,0,0
194,Empoli,Fiorentina,0,2,A,0,0,D,19,9,2,2,21,22,6,3,3,3,0,0
195,Livorno,Juventus,1,3,A,0,1,A,13,19,5,8,12,18,8,5,2,5,1,0
196,Milan,Genoa,2,0,H,0,0,D,24,9,7,3,14,19,7,4,2,3,0,1
197,Torino,Lazio,0,0,D,0,0,D,14,13,5,6,28,19,5,3,5,3,1,1
198,Udinese,Inter,0,0,D,0,0,D,18,10,2,1,22,21,4,1,1,1,0,1
199,Reggina,Milan,0,1,A,0,1,A,7,27,2,5,15,16,2,9,2,2,0,0
200,Napoli,Udinese,3,1,H,1,1,D,16,10,5,1,13,18,2,11,1,3,1,1
201,Palermo,Livorno,1,0,H,0,0,D,28,11,6,4,15,23,10,4,1,3,0,0
202,Fiorentina,Milan,0,1,A,0,0,D,22,14,5,2,20,12,9,4,0,4,0,0
203,Genoa,Catania,2,1,H,1,0,H,14,10,6,5,23,21,2,6,0,3,0,0
204,Inter,Empoli,1,0,H,1,0,H,15,16,4,5,10,16,4,4,2,5,1,0
205,Juventus,Cagliari,1,1,D,0,0,D,17,11,6,6,12,21,11,4,1,3,0,0
206,Lazio,Sampdoria,2,1,H,1,1,D,10,8,4,2,27,19,8,7,3,4,0,0
207,Parma,Atalanta,2,3,A,1,1,D,15,12,5,7,24,21,4,3,3,5,0,0
208,Reggina,Torino,1,3,A,0,2,A,12,12,3,7,12,20,8,4,2,5,0,0
209,Siena,Roma,3,0,H,2,0,H,22,21,7,4,15,19,7,7,2,3,0,0
210,Atalanta,Fiorentina,2,2,D,1,1,D,9,10,3,3,23,24,5,1,5,2,0,0
211,Roma,Reggina,2,0,H,1,0,H,34,12,7,3,16,11,7,6,2,1,0,0
212,Cagliari,Parma,1,1,D,1,1,D,8,8,3,1,16,23,6,7,3,4,0,0
213,Catania,Inter,0,2,A,0,0,D,7,8,0,5,29,23,2,2,4,2,0,0
214,Empoli,Lazio,1,0,H,1,0,H,8,15,3,5,38,29,5,2,3,3,0,1
215,Livorno,Genoa,1,1,D,1,0,H,7,16,2,4,11,27,4,11,2,2,0,1
216,Milan,Siena,1,0,H,0,0,D,17,15,3,5,19,16,6,3,2,1,0,1
217,Sampdoria,Napoli,2,0,H,0,0,D,14,6,5,1,30,30,7,4,4,4,0,0
218,Torino,Palermo,3,1,H,0,1,A,19,11,7,5,28,27,2,4,3,3,0,1
219,Udinese,Juventus,1,2,A,1,0,H,16,10,8,2,15,15,14,7,1,2,0,0
220,Milan,Livorno,1,1,D,0,0,D,21,10,9,2,15,14,10,0,1,2,0,0
221,Inter,Livorno,2,0,H,2,0,H,11,14,6,4,12,20,4,1,0,2,0,0
222,Juventus,Roma,1,0,H,1,0,H,10,14,3,1,26,25,6,12,2,1,0,0
223,Parma,Milan,0,0,D,0,0,D,17,16,4,3,27,17,7,4,2,2,0,0
224,Fiorentina,Catania,2,1,H,1,0,H,17,13,2,3,19,17,3,3,2,2,0,0
225,Genoa,Sampdoria,0,1,A,0,0,D,11,12,2,5,24,23,8,4,4,6,1,0
226,Lazio,Atalanta,3,0,H,1,0,H,10,7,6,3,20,21,4,5,2,4,0,0
227,Napoli,Empoli,1,3,A,1,1,D,7,15,3,5,19,20,3,5,0,0,2,1
228,Palermo,Cagliari,2,1,H,2,0,H,15,18,6,6,28,17,4,7,3,2,0,0
229,Reggina,Udinese,1,3,A,0,1,A,15,13,5,5,17,19,7,3,1,2,0,0
230,Siena,Torino,0,0,D,0,0,D,15,15,6,3,19,30,2,4,2,2,0,0
231,Reggina,Juventus,2,1,H,1,0,H,7,24,3,4,13,18,3,7,3,2,0,1
232,Torino,Parma,4,4,D,2,4,A,14,13,6,7,26,15,6,1,1,1,0,0
233,Atalanta,Siena,2,2,D,2,2,D,16,6,6,3,14,27,6,3,1,3,0,0
234,Cagliari,Lazio,1,0,H,0,0,D,12,17,3,3,22,16,9,2,2,2,1,0
235,Empoli,Catania,2,0,H,1,0,H,19,11,10,4,26,13,9,4,3,1,0,0
236,Livorno,Napoli,1,2,A,0,0,D,10,14,3,6,24,35,2,5,2,4,0,0
237,Milan,Palermo,2,1,H,1,1,D,11,7,6,1,19,21,6,3,2,3,0,0
238,Roma,Fiorentina,1,0,H,0,0,D,25,12,9,3,15,18,11,6,2,1,1,0
239,Sampdoria,Inter,1,1,D,0,0,D,14,6,5,4,16,18,6,6,0,3,0,0
240,Udinese,Genoa,3,5,A,2,2,D,21,20,7,9,13,20,3,3,1,4,0,0
241,Juventus,Torino,0,0,D,0,0,D,15,13,4,1,23,22,11,8,3,3,1,0
242,Atalanta,Sampdoria,4,1,H,3,1,H,13,7,6,2,14,22,4,3,1,3,0,0
243,Catania,Milan,1,1,D,0,0,D,9,13,3,3,23,26,3,3,4,4,0,0
244,Fiorentina,Livorno,1,0,H,0,0,D,18,4,5,0,23,17,6,1,4,1,0,0
245,Genoa,Napoli,2,0,H,1,0,H,13,6,4,1,19,19,4,2,1,5,0,1
246,Inter,Roma,1,1,D,0,1,A,12,15,2,3,22,17,5,5,2,2,0,1
247,Lazio,Reggina,1,0,H,1,0,H,20,8,2,2,23,21,5,7,3,1,0,0
248,Palermo,Empoli,2,0,H,2,0,H,14,9,7,2,24,12,7,2,2,1,0,0
249,Parma,Udinese,2,0,H,0,0,D,11,16,4,2,23,20,1,5,2,0,0,0
250,Siena,Cagliari,1,0,H,0,0,D,13,11,2,1,19,20,6,3,2,1,0,0
251,Milan,Lazio,1,1,D,0,0,D,9,9,4,5,13,25,4,3,3,4,0,1
252,Roma,Parma,4,0,H,1,0,H,18,7,5,3,15,19,6,8,1,3,0,0
253,Cagliari,Genoa,2,1,H,2,1,H,12,17,4,5,21,16,3,8,5,3,0,0
254,Empoli,Siena,0,2,A,0,1,A,11,13,2,6,18,25,9,2,3,4,1,0
255,Juventus,Fiorentina,2,3,A,1,1,D,6,10,4,6,24,24,5,6,1,1,0,1
256,Livorno,Catania,1,0,H,0,0,D,13,13,3,2,20,27,5,7,2,4,0,0
257,Napoli,Inter,1,0,H,1,0,H,17,7,5,2,13,16,6,4,4,3,0,0
258,Reggina,Palermo,0,0,D,0,0,D,8,8,5,1,24,26,4,1,3,2,0,0
259,Sampdoria,Torino,2,2,D,1,1,D,18,9,6,4,26,33,4,2,4,3,1,0
260,Udinese,Atalanta,2,0,H,2,0,H,11,8,4,1,24,22,5,4,4,2,0,0
261,Inter,Reggina,2,0,H,2,0,H,10,20,3,8,16,13,2,12,1,4,0,0
262,Palermo,Udinese,1,1,D,1,0,H,18,7,9,3,25,23,10,2,2,2,0,0
263,Catania,Cagliari,2,1,H,1,1,D,14,11,8,4,26,16,9,1,3,3,0,0
264,Empoli,Milan,1,3,A,1,1,D,12,15,2,7,19,18,3,1,2,1,0,0
265,Genoa,Juventus,0,2,A,0,2,A,12,11,2,4,20,21,3,6,3,4,0,0
266,Lazio,Livorno,2,0,H,2,0,H,16,9,10,2,19,26,7,3,1,3,0,0
267,Napoli,Roma,0,2,A,0,1,A,15,17,3,6,23,23,6,7,3,0,0,0
268,Parma,Sampdoria,1,2,A,0,1,A,17,6,4,3,28,24,5,0,4,5,0,0
269,Siena,Fiorentina,1,0,H,0,0,D,11,16,1,1,21,20,2,7,2,1,1,0
270,Torino,Atalanta,1,0,H,1,0,H,10,9,2,3,29,15,12,2,3,2,0,1
271,Roma,Milan,2,1,H,0,0,D,14,16,4,6,9,16,5,4,0,3,0,0
272,Udinese,Lazio,2,2,D,0,1,A,11,12,5,5,23,10,8,7,3,1,0,0
273,Atalanta,Empoli,4,1,H,2,0,H,11,14,7,4,15,17,2,10,3,1,0,0
274,Cagliari,Torino,3,0,H,2,0,H,13,9,5,1,22,21,9,8,2,2,0,0
275,Fiorentina,Genoa,3,1,H,2,0,H,10,20,6,8,19,19,4,4,2,4,0,0
276,Inter,Palermo,2,1,H,2,1,H,14,10,6,4,23,14,3,2,2,2,0,0
277,Juventus,Napoli,1,0,H,0,0,D,20,7,4,2,22,23,6,4,1,5,0,0
278,Livorno,Parma,1,1,D,1,0,H,8,11,2,4,19,26,4,3,1,0,0,0
279,Reggina,Siena,4,0,H,3,0,H,16,12,9,0,20,18,6,1,2,2,0,0
280,Sampdoria,Catania,3,1,H,0,0,D,16,7,4,2,30,32,9,2,3,4,0,0
281,Cagliari,Atalanta,1,0,H,1,0,H,8,12,3,3,20,23,4,4,4,1,0,1
282,Catania,Siena,0,0,D,0,0,D,13,12,4,4,30,16,10,2,2,3,0,0
283,Empoli,Juventus,0,0,D,0,0,D,7,8,1,2,16,24,2,7,4,3,0,0
284,Genoa,Inter,1,1,D,0,1,A,21,4,6,1,18,19,10,4,2,2,0,1
285,Lazio,Roma,3,2,H,1,1,D,18,14,3,3,16,18,6,8,3,3,0,0
286,Livorno,Reggina,1,1,D,0,1,A,24,3,11,1,20,25,11,2,2,4,0,0
287,Milan,Sampdoria,1,2,A,0,2,A,15,7,4,4,15,19,9,1,1,2,0,1
288,Napoli,Fiorentina,2,0,H,2,0,H,10,12,7,3,14,19,5,6,5,3,0,0
289,Parma,Palermo,2,1,H,0,0,D,16,9,4,2,14,18,5,1,1,0,1,1
290,Torino,Udinese,0,1,A,0,1,A,18,6,6,2,21,22,9,3,2,1,0,0
